game_player_id,game_id,game,round,phase,season_code,player_id,is_starter,is_playing,team_id,dorsal,player,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,season_year,minutes_played
U2023_090_TTK,U2023_090,TTK-WRO,9,REGULAR SEASON,U2023,TTK,False,True,TTK,TOTAL,Turk Telekom Ankara,71,23,56,4,22,13,22,26,19,45,15,10,12,4,6,26,20,61,0,2023,200.0
U2023_090_WRO,U2023_090,TTK-WRO,9,REGULAR SEASON,U2023,WRO,False,True,WRO,TOTAL,Slask Wroclaw,80,16,25,10,27,18,26,8,29,37,16,7,18,6,4,21,26,95,0,2023,200.0
U2023_191_LLI,U2023_191,LLI-PRS,22,SEMIFINALS,U2023,LLI,False,True,LLI,TOTAL,London Lions,85,19,37,12,26,11,18,13,27,40,21,4,21,3,5,26,19,81,0,2023,200.0
U2023_191_PRS,U2023_191,LLI-PRS,22,SEMIFINALS,U2023,PRS,False,True,PRS,TOTAL,Paris Basketball,93,23,36,9,30,20,33,12,22,34,23,14,13,5,3,19,26,113,0,2023,200.0
U2023_005_JOV,U2023_005,JOV-BES,1,REGULAR SEASON,U2023,JOV,False,True,JOV,TOTAL,Joventut Badalona,62,23,42,2,16,10,18,6,29,35,15,7,14,2,1,25,20,60,0,2023,200.0
U2023_005_BES,U2023_005,JOV-BES,1,REGULAR SEASON,U2023,BES,False,True,BES,TOTAL,Besiktas Emlakjet Istanbul,63,17,43,6,20,11,20,14,27,41,19,8,16,1,2,20,25,70,0,2023,200.0
U2023_098_LKB,U2023_098,LKB-BUD,10,REGULAR SEASON,U2023,LKB,False,True,LKB,TOTAL,7Bet-Lietkabelis Panevezys,81,15,27,10,31,21,25,9,23,32,17,6,11,1,4,22,28,91,0,2023,200.0
U2023_098_BUD,U2023_098,LKB-BUD,10,REGULAR SEASON,U2023,BUD,False,True,BUD,TOTAL,Buducnost Voli Podgorica,83,23,42,8,22,13,14,11,26,37,16,5,11,4,1,29,22,92,0,2023,200.0
U2023_047_ARI,U2023_047,ARI-CLU,5,REGULAR SEASON,U2023,ARI,False,True,ARI,TOTAL,Aris Midea Thessaloniki,59,14,37,6,23,13,15,13,25,38,10,8,16,1,2,21,19,54,0,2023,200.0
U2023_047_CLU,U2023_047,ARI-CLU,5,REGULAR SEASON,U2023,CLU,False,True,CLU,TOTAL,U-Bt Cluj-Napoca,61,18,35,3,21,16,21,11,26,37,18,6,15,2,1,19,21,70,0,2023,200.0
U2023_179_LKB,U2023_179,LKB-CLU,18,REGULAR SEASON,U2023,LKB,False,True,LKB,TOTAL,7Bet-Lietkabelis Panevezys,92,24,40,10,24,14,16,13,17,30,25,9,12,1,1,20,21,113,0,2023,200.0
U2023_179_CLU,U2023_179,LKB-CLU,18,REGULAR SEASON,U2023,CLU,False,True,CLU,TOTAL,U-Bt Cluj-Napoca,87,18,36,14,30,9,12,15,17,32,19,6,14,1,1,21,19,91,0,2023,200.0
U2023_086_ULM,U2023_086,ULM-BOU,9,REGULAR SEASON,U2023,ULM,False,True,ULM,TOTAL,Ratiopharm Ulm,84,20,33,8,28,20,23,12,21,33,19,13,16,2,1,17,23,104,0,2023,200.0
U2023_086_BOU,U2023_086,ULM-BOU,9,REGULAR SEASON,U2023,BOU,False,True,BOU,TOTAL,Mincidelice Jl Bourg En Bresse,89,18,30,15,34,8,8,9,22,31,23,12,19,1,2,23,17,98,0,2023,200.0
U2023_188_HTA,U2023_188,HTA-BES,20,QUARTERFINALS,U2023,HTA,False,True,HTA,TOTAL,Hapoel Shlomo Tel Aviv,89,25,48,7,18,18,25,10,23,33,12,6,12,4,2,20,24,93,0,2023,200.0
U2023_188_BES,U2023_188,HTA-BES,20,QUARTERFINALS,U2023,BES,False,True,BES,TOTAL,Besiktas Emlakjet Istanbul,94,19,43,13,29,17,20,18,25,43,19,5,15,2,4,25,19,95,0,2023,200.0
U2023_174_LLI,U2023_174,LLI-WOL,18,REGULAR SEASON,U2023,LLI,False,True,LLI,TOTAL,London Lions,80,24,42,3,19,23,28,7,24,31,15,5,17,5,2,21,26,83,0,2023,200.0
U2023_174_WOL,U2023_174,LLI-WOL,18,REGULAR SEASON,U2023,WOL,False,True,WOL,TOTAL,Wolves Vilnius,85,24,44,8,26,13,23,15,29,44,16,12,15,2,5,26,21,86,0,2023,200.0
U2023_051_WOL,U2023_051,WOL-PMT,6,REGULAR SEASON,U2023,WOL,False,True,WOL,TOTAL,Wolves Vilnius,85,20,44,11,27,12,15,17,19,36,18,9,7,2,5,14,16,97,0,2023,200.0
U2023_051_PMT,U2023_051,WOL-PMT,6,REGULAR SEASON,U2023,PMT,False,True,PMT,TOTAL,Prometey Slobozhanske,71,21,35,9,27,2,2,11,24,35,17,3,15,5,2,17,14,79,0,2023,200.0
U2023_110_CLU,U2023_110,CLU-WRO,11,REGULAR SEASON,U2023,CLU,False,True,CLU,TOTAL,U-Bt Cluj-Napoca,80,27,42,6,23,8,13,9,22,31,24,11,6,1,3,17,18,102,0,2023,200.0
U2023_110_WRO,U2023_110,CLU-WRO,11,REGULAR SEASON,U2023,WRO,False,True,WRO,TOTAL,Slask Wroclaw,76,21,34,8,23,10,15,9,25,34,18,2,14,3,1,18,17,84,0,2023,200.0
U2023_137_CLU,U2023_137,CLU-ARI,14,REGULAR SEASON,U2023,CLU,False,True,CLU,TOTAL,U-Bt Cluj-Napoca,90,26,40,7,16,17,24,8,23,31,23,6,13,4,1,20,22,112,0,2023,200.0
U2023_137_ARI,U2023_137,CLU-ARI,14,REGULAR SEASON,U2023,ARI,False,True,ARI,TOTAL,Aris Midea Thessaloniki,74,22,37,7,25,9,13,13,18,31,15,9,15,1,4,22,20,72,0,2023,200.0
U2023_100_TRN,U2023_100,TRN-ULM,10,REGULAR SEASON,U2023,TRN,False,True,TRN,TOTAL,Dolomiti Energia Trento,83,22,38,8,31,15,21,10,28,38,20,8,13,1,3,20,21,90,0,2023,200.0
U2023_100_ULM,U2023_100,TRN-ULM,10,REGULAR SEASON,U2023,ULM,False,True,ULM,TOTAL,Ratiopharm Ulm,85,28,44,5,21,14,19,7,31,38,19,6,18,3,1,21,20,94,0,2023,200.0
